story_id,selection_genre,audit_bucket,audit_features,token_key,sentence_index,token_index,global_token_index,text,lemma,machine_upos,context,gold_upos,notes
anderson/shoes_of_fortune,fantasy,NOUN,archaic_candidate,anderson/shoes_of_fortune#g9887,356,14,9887,bath,bath,NOUN,"And so there he lay on the uppermost bank in the vapor-bath; but with all his clothes on, in his boots and galoshes, while the hot drops fell scalding from the ceiling on his face.",,
anderson/snow_queen,fantasy,NOUN,ordinary,anderson/snow_queen#g11270,440,15,11270,abode,abode,NOUN,"The Snow Queen has her summer-tent there; but her fixed abode is high up towards the North Pole, on the Island called Spitzbergen.”",,
anderson/bell,fantasy,OTHER,ordinary,anderson/bell#g18,2,2,18,a,a,DET,For a strange wondrous tone was heard in the narrow streets of a large town.,,
anderson/emperor_s_new_clothes,fantasy,OTHER,noun_verb_ambiguous,anderson/emperor_s_new_clothes#g1839,73,6,1839,light,light,ADJ,"The whole suit is as light as a cobweb; one might fancy one has nothing at all on, when dressed in it; that, however, is the great virtue of this delicate cloth.”",,
anderson/fir_tree,fantasy,OTHER,archaic_candidate,anderson/fir_tree#g4022,195,29,4022,beneath,beneath,ADP,"“Only look what is still on the ugly old Christmas tree!” said he, trampling on the branches, so that they all cracked beneath his feet.",,
anderson/little_match_girl,fantasy,OTHER,noun_verb_ambiguous,anderson/little_match_girl#g972,33,12,972,light,light,ADJ,"She drew another match against the wall: it was again light, and in the lustre there stood the old grandmother, so bright and radiant, so mild, and with such an expression of love.",,
anderson/shoes_of_fortune,fantasy,OTHER,archaic_candidate,anderson/shoes_of_fortune#g13393,481,5,13393,beneath,beneath,ADP,"“I flew about beneath the green palms and the blossoming almond-trees,” sang the Canary; “I flew around, with my brothers and sisters, over the beautiful flowers, and over the glassy lakes, where the bright water-plants nodded to me from be",,
anderson/shoes_of_fortune,fantasy,OTHER,"proper_name_candidate,archaic_candidate",anderson/shoes_of_fortune#g14295,523,2,14295,Best,good,ADJ,"The Best That the Galoshes Gave The following day, early in the morning, while the Clerk was still in bed, someone knocked at his door.",,
anderson/snow_queen,fantasy,OTHER,contraction_or_possessive,anderson/snow_queen#g1295,41,4,1295,'d,would,AUX,"“Then I'd put her on the stove, and she'd melt.”",,
anderson/snow_queen,fantasy,OTHER,contraction_or_possessive,anderson/snow_queen#g1305,41,14,1305,'d,would,AUX,"“Then I'd put her on the stove, and she'd melt.”",,
anderson/happy_family,fantasy,PROPN,"proper_name_candidate,noun_verb_ambiguous",anderson/happy_family#g475,11,32,475,house,house,PROPN,"The old white snails were the first persons of distinction in the world, that they knew; the forest was planted for their sake, and the manor-house was there that they might be boiled and laid on a silver dish.",,
anderson/happy_family,fantasy,PROPN,"proper_name_candidate,noun_verb_ambiguous",anderson/happy_family#g855,26,5,855,house,house,PROPN,“The manor-house has most likely fallen to ruin!” said Father Snail.,,
anderson/shoes_of_fortune,fantasy,PROPN,"proper_name_candidate,contraction_or_possessive",anderson/shoes_of_fortune#g9710,349,8,9710,madness—'tis,madness—'tis,PROPN,“I have surely a disposition to madness—'tis dreadfully hot here; my blood boils in my veins and my head is burning like a coal.”,,
anderson/shoes_of_fortune,fantasy,PROPN,"proper_name_candidate,contraction_or_possessive,hyphenated",anderson/shoes_of_fortune#g15763,575,18,15763,cocks'-combs,cocks'-combs,PROPN,The last ingredient played a very prominent part in the salad; stale eggs and roasted cocks'-combs furnished the grand dish of the repast; the wine even was not without a disgusting taste—it was like a medicinal draught.,,
anderson/shoes_of_fortune,fantasy,PROPN,"proper_name_candidate,contraction_or_possessive",anderson/shoes_of_fortune#g16223,597,6,16223,o'er,o'er,PROPN,But the green mound that o'er the coffin lies.”,,
anderson/snow_queen,fantasy,PROPN,"proper_name_candidate,archaic_candidate",anderson/snow_queen#g9875,383,1,9875,FIFTH,FIFTH,PROPN,FIFTH STORY.,,
anderson/story_of_a_mother,fantasy,PROPN,"proper_name_candidate,archaic_candidate",anderson/story_of_a_mother#g268,9,8,268,Death,Death,PROPN,"And the old man—it was Death himself—he nodded so strangely, it could just as well signify yes as no.",,
anderson/story_of_a_mother,fantasy,PROPN,"proper_name_candidate,archaic_candidate",anderson/story_of_a_mother#g1142,34,6,1142,Death,Death,PROPN,"“Where shall I find Death, who took away my little child?” said she.",,
lovecraft/cool_air,horror,NOUN,noun_verb_ambiguous,lovecraft/cool_air#g232,9,31,232,house,house,NOUN,"I found it in the glare of midafternoon, in the clangor of a metropolis, and in the teeming midst of a shabby and commonplace rooming-house with a prosaic landlady and two stalwart men by my side.",,
lovecraft/the_call_of_cthulhu,horror,NOUN,ordinary,lovecraft/the_call_of_cthulhu#g1492,43,6,1492,1st,1st,NOUN,"It appears that on March 1st, 1925, a thin, dark young man of neurotic and excited aspect had called upon Professor Angell bearing the singular clay bas-relief, which was then exceedingly damp and fresh.",,
lovecraft/the_call_of_cthulhu,horror,NOUN,archaic_candidate,lovecraft/the_call_of_cthulhu#g9931,294,48,9931,12th,12th,NOUN,"The Morrison Co.'s freighter Vigilant , bound from Valparaiso, arrived this morning at its wharf in Darling Harbour, having in tow the battled and disabled but heavily armed steam yacht Alert of Dunedin, N. Z., which was sighted April 12th ",,
lovecraft/the_thing_on_the_doorstep,horror,NOUN,contraction_or_possessive,lovecraft/the_thing_on_the_doorstep#g2753,93,12,2753,crow's,crow',NOUN,"Asenath, on the other hand, had the premature crow's-feet which come from the exercise of an intense will.",,
lovecraft/the_thing_on_the_doorstep,horror,NOUN,"proper_name_candidate,contraction_or_possessive",lovecraft/the_thing_on_the_doorstep#g5307,175,90,5307,I'll,i'll,NOUN,"Kamog!'—that was old Ephraim's secret name in the coven—I was there, where she promised she wouldn't take me—A minute before I was locked in the library, and then I was there where she had gone with my body—in the place of utter blasphemy, ",,
lovecraft/the_thing_on_the_doorstep,horror,NOUN,contraction_or_possessive,lovecraft/the_thing_on_the_doorstep#g9010,322,29,9010,body'd,body'd,NOUN,"She'd have got me for good—she'd have been I, and I'd have been she—for ever—too late—My body'd have been hers for good—She'd have been a man, and fully human, just as she wanted to be—I suppose she'd have put me out of the way—killed her o",,
mass_quantities/brown_john_s_body__marks,horror,NOUN,hyphenated,mass_quantities/brown_john_s_body__marks#g5465,411,13,5465,bih----,bih----,NOUN,"""John, say the alphabet!"" ""Eh--bih----"" ""That's right.",,
mass_quantities/dig_me_no_grave__howard,horror,NOUN,hyphenated,mass_quantities/dig_me_no_grave__howard#g5869,246,2,5869,----Ye,----ye,NOUN,"""----Ye abysse yawns & ye debt is to paye.",,
lovecraft/the_call_of_cthulhu,horror,OTHER,ordinary,lovecraft/the_call_of_cthulhu#g10190,300,28,10190,22d,22d,NUM,"The Emma , he says, was delayed and thrown widely south of her course by the great storm of March 1st, and on March 22d, in S. Latitude 49° 51´, W. Longitude 128° 34´, encountered the Alert , manned by a queer and evil-looking crew of Kanak",,
lovecraft/the_haunter_of_the_dark,horror,OTHER,noun_verb_ambiguous,lovecraft/the_haunter_of_the_dark#g1277,31,44,1277,house,house,VERB,"Now and then he would train his field-glasses on that spectral, unreachable world beyond the curling smoke; picking out individual roofs and chimneys and steeples, and speculating upon the bizarre and curious mysteries they might house.",,
lovecraft/the_horror_at_red_hook,horror,OTHER,archaic_candidate,lovecraft/the_horror_at_red_hook#g4441,96,69,4441,ablest,able,ADJ,"They had come in steamships, apparently tramp freighters, and had been unloaded by stealth on moonless nights in rowboats which stole under a certain wharf and followed a hidden canal and house Malone could not locate, for the memories of h",,
lovecraft/the_thing_on_the_doorstep,horror,OTHER,"proper_name_candidate,contraction_or_possessive",lovecraft/the_thing_on_the_doorstep#g5319,175,102,5319,I'll,i'll,NUM,"Kamog!'—that was old Ephraim's secret name in the coven—I was there, where she promised she wouldn't take me—A minute before I was locked in the library, and then I was there where she had gone with my body—in the place of utter blasphemy, ",,
lovecraft/the_thing_on_the_doorstep,horror,OTHER,contraction_or_possessive,lovecraft/the_thing_on_the_doorstep#g5768,192,3,5768,'d,would,AUX,Sometimes she'd get hold of him again and sometimes she couldn't.,,
lovecraft/the_thing_on_the_doorstep,horror,OTHER,contraction_or_possessive,lovecraft/the_thing_on_the_doorstep#g8954,321,2,8954,'d,would,AUX,"She'd have got me for good at Hallowmass—they hold a Sabbat up there beyond Chesuncook, and the sacrifice would have clinched things.",,
mass_quantities/dig_me_no_grave__howard,horror,OTHER,hyphenated,mass_quantities/dig_me_no_grave__howard#g5251,213,2,5251,----And,----and,CCONJ,"""----And ye mortal which gaineth to ye black citadels of Koth & speaks with ye Darke Lord whose face is hidden, for a price maye he gain hys heartes desire, ryches & knowledge beyond countinge & lyffe beyond mortal span even two hundred & f",,
mass_quantities/dig_me_no_grave__howard,horror,OTHER,hyphenated,mass_quantities/dig_me_no_grave__howard#g5473,225,2,5473,----Amonge,----amonge,VERB,"""----Amonge ye sonnes of men glide strange shadows for ever.",,
lovecraft/the_call_of_cthulhu,horror,PROPN,"proper_name_candidate,contraction_or_possessive",lovecraft/the_call_of_cthulhu#g5805,161,9,5805,D'Iberville,D'Iberville,PROPN,"They said it had been there before D'Iberville, before La Salle, before the Indians, and before even the wholesome beasts and birds of the woods.",,
lovecraft/the_festival,horror,PROPN,"proper_name_candidate,noun_verb_ambiguous",lovecraft/the_festival#g757,19,55,757,House,House,PROPN,"It was told that I should be known and welcomed, for village legend lives long; so I hastened through Back Street to Circle Court, and across the fresh snow on the one full flagstone pavement in the town, to where Green Lane leads off behin",,
lovecraft/the_haunter_of_the_dark,horror,PROPN,"proper_name_candidate,contraction_or_possessive",lovecraft/the_haunter_of_the_dark#g4113,129,31,4113,d'Erlette,d'Erlette,PROPN,"He had himself read many of them—a Latin version of the abhorred Necronomicon , the sinister Liber Ivonis , the infamous Cultes des Goules of Comte d'Erlette, the Unaussprechlichen Kulten of von Junzt, and old Ludvig Prinn's hellish De Verm",,
lovecraft/the_haunter_of_the_dark,horror,PROPN,"proper_name_candidate,archaic_candidate",lovecraft/the_haunter_of_the_dark#g5391,168,7,5391,4th,4th,PROPN,""" ""Dr. Drowne of 4th Baptist warns against Starry Wisdom in sermon Dec. 29, 1844."" ""Congregation 97 by end of '45."" ""1846—3 disappearances—first mention of Shining Trapezohedron.",,
mass_quantities/brown_john_s_body__marks,horror,PROPN,"proper_name_candidate,contraction_or_possessive,hyphenated",mass_quantities/brown_john_s_body__marks#g6026,474,4,6026,I'll--,I'll--,PROPN,"Stop or I'll--"" Neff's threats beat hard into the rat's brain, and now as the slanting incisors tore at the cloth and chewed the luscious, blood-smothered, hot meat, Neff's screams sent tremors through the skinny, voracious body, and the ta",,
mass_quantities/dig_me_no_grave__howard,horror,PROPN,"proper_name_candidate,archaic_candidate",mass_quantities/dig_me_no_grave__howard#g5773,238,2,5773,Approacheth,Approacheth,PROPN,"""Approacheth now ye moment of payement.",,
mass_quantities/don_t_think_about_it__stuart,horror,PROPN,"proper_name_candidate,hyphenated",mass_quantities/don_t_think_about_it__stuart#g3451,220,33,3451,blue--,blue--,PROPN,"If he had to, he would fight this one out all the way--tears, tantrum, kick, scream, gasp, hold his breath and turn blue-- ""Now, now, Tommy-boy.""",,
mass_quantities/doom_of_the_house_of_duryea__peirce,horror,PROPN,"proper_name_candidate,contraction_or_possessive",mass_quantities/doom_of_the_house_of_duryea__peirce#g4868,234,5,4868,d'Arc,d'Arc,PROPN,"He read of Jeanne d'Arc, of Ludvig Prinn, and muttered aloud the Latin snatches from _Episcopi_.",,
mass_quantities/eve_s_diary_complete__twain,humor,NOUN,noun_verb_ambiguous,mass_quantities/eve_s_diary_complete__twain#g5785,231,66,5785,house,house,NOUN,"She believed it could be tamed by kind treatment and would be a good pet; I said a pet twenty-one feet high and eighty-four feet long would be no proper thing to have about the place, because, even with the best intentions and without meani",,
mass_quantities/the_facts_concerning_the_recent_carnival_of_crime__twain,humor,NOUN,hyphenated,mass_quantities/the_facts_concerning_the_recent_carnival_of_crime__twain#g3932,163,6,3932,as--,as--,NOUN,That is as far as--” “We will have no argument about this.,,
mass_quantities/the_westminster_alice__saki,humor,NOUN,"proper_name_candidate,hyphenated",mass_quantities/the_westminster_alice__saki#g6164,261,8,6164,Caterpillar----,caterpillar----,NOUN,"“You can’t think, Mr. Caterpillar----” “I can, and I often do,” he remarked stiffly; adding, “You mustn’t make such wild statements.",,
wodehouse/at_geisenheimer_s,humor,NOUN,contraction_or_possessive,wodehouse/at_geisenheimer_s#g8060,454,2,8060,boss'll,boss'll,NOUN,"The boss'll sack you just one minute after I tell him.' 'No, he won't, Izzy, because I'm going to resign.'",,
wodehouse/bill_the_bloodhound,humor,NOUN,ordinary,wodehouse/bill_the_bloodhound#g4783,270,22,4783,ability,ability,NOUN,She had secured the role rather as a testimony of personal esteem from the management than because of any innate ability.,,
wodehouse/bill_the_bloodhound,humor,NOUN,"proper_name_candidate,archaic_candidate",wodehouse/bill_the_bloodhound#g5450,300,9,5450,Bath,bath,NOUN,"The family butler, disguised as a Bath-chair man, has followed the hero, and the wealthy and titled father, disguised as an Italian opera-singer, has come to the place for a reason which, though extremely sound, for the moment eludes the me",,
wodehouse/making_of_mac_s,humor,NOUN,"proper_name_candidate,contraction_or_possessive",wodehouse/making_of_mac_s#g1913,85,10,1913,I'm,I'm,NOUN,'What do you mean?' 'I'm—I'm going on the stage.' I put down my paper.,,
wodehouse/one_touch_of_nature,humor,NOUN,contraction_or_possessive,wodehouse/one_touch_of_nature#g2922,153,24,2922,d'oeuvres,d'oeuvre,NOUN,"About now,' said Mr Birdsey, looking at his watch, 'I guess they'll be pronging the hors d'oeuvres and gazing at the empty chair.",,
mass_quantities/eve_s_diary_complete__twain,humor,OTHER,hyphenated,mass_quantities/eve_s_diary_complete__twain#g3389,144,9,3389,--never,--never,INTJ,"ah, I shall never forget that --never, never.",,
mass_quantities/eve_s_diary_complete__twain,humor,OTHER,"proper_name_candidate,contraction_or_possessive",mass_quantities/eve_s_diary_complete__twain#g6868,267,4,6868,CAN'T,can't,AUX,"Some things you CAN'T find out; but you will never know you can't by guessing and supposing: no, you have to be patient and go on experimenting until you find out that you can't find out.",,
mass_quantities/puppet_government__revelle,humor,OTHER,contraction_or_possessive,mass_quantities/puppet_government__revelle#g4374,337,6,4374,'d,would,AUX,"""Now I think you'd better leave Mr....."" ""Evans!"" ""Mr. Evans.",,
mass_quantities/puppet_government__revelle,humor,OTHER,hyphenated,mass_quantities/puppet_government__revelle#g4896,380,4,4896,afraid--,afraid--,ADJ,"""I'm afraid--"" The President looked back at his reflection on the glass.",,
mass_quantities/puppet_government__revelle,humor,OTHER,contraction_or_possessive,mass_quantities/puppet_government__revelle#g5109,391,3,5109,'d,would,AUX,"""I'd like to take it home to my granddaughter.",,
mass_quantities/the_facts_concerning_the_recent_carnival_of_crime__twain,humor,OTHER,noun_verb_ambiguous,mass_quantities/the_facts_concerning_the_recent_carnival_of_crime__twain#g3111,119,37,3111,light,light,ADJ,"Fool, I should have weighed a ton, and could not have budged from the floor; but instead, you are so cheerfully anxious to kill me that your conscience is as light as a feather; hence I am away up here out of your reach.",,
wodehouse/bill_the_bloodhound,humor,OTHER,ordinary,wodehouse/bill_the_bloodhound#g178,11,3,178,1.—The,1.—the,NUM,No. 1.—The,,
wodehouse/romance_of_an_ugly_policeman,humor,OTHER,archaic_candidate,wodehouse/romance_of_an_ugly_policeman#g1465,78,5,1465,arrest,arrest,VERB,And you couldn't arrest him for it!,,
mass_quantities/eve_s_diary_complete__twain,humor,PROPN,"proper_name_candidate,contraction_or_possessive",mass_quantities/eve_s_diary_complete__twain#g5260,221,4,5260,'S,'S,PROPN,"EXTRACT FROM ADAM'S DIARY Perhaps I ought to remember that she is very young, a mere girl and make allowances.",,
mass_quantities/the_facts_concerning_the_recent_carnival_of_crime__twain,humor,PROPN,"proper_name_candidate,hyphenated",mass_quantities/the_facts_concerning_the_recent_carnival_of_crime__twain#g5705,247,11,5705,and--,and--,PROPN,"Now if you were five or six feet high, and--” “Oh, come!",,
mass_quantities/the_lamplighter__dickens,humor,PROPN,"proper_name_candidate,noun_verb_ambiguous",mass_quantities/the_lamplighter__dickens#g254,8,36,254,House,House,PROPN,"The lamplighter who did the company this honour, was seated in the chimney-corner of a certain tavern, which has been, time out of mind, the Lamplighters’ House of Call.",,
mass_quantities/the_westminster_alice__saki,humor,PROPN,"proper_name_candidate,hyphenated",mass_quantities/the_westminster_alice__saki#g1491,64,7,1491,conclusion_--not,conclusion_--not,PROPN,"“Not exactly to a _conclusion_--not a _definite_ conclusion, you know--nor entirely successful either.",,
mass_quantities/the_westminster_alice__saki,humor,PROPN,"proper_name_candidate,archaic_candidate",mass_quantities/the_westminster_alice__saki#g5706,241,2,5706,Both,Both,PROPN,"“Both?” “Yes, the one I was playing with and the one I wasn’t.",,
wodehouse/at_geisenheimer_s,humor,PROPN,"proper_name_candidate,archaic_candidate",wodehouse/at_geisenheimer_s#g6038,342,24,6038,blacksmith,blacksmith,PROPN,"'Well,' says Charlie, taking out his handkerchief and attending to his brow, which was like the village blacksmith's, 'we didn't do so bad, did we?",,
wodehouse/black_for_luck,humor,PROPN,"proper_name_candidate,contraction_or_possessive",wodehouse/black_for_luck#g1088,51,22,1088,bird's,bird's,PROPN,"Having searched the flat without finding him, Elizabeth went to the window, with the intention of making a bird's-eye survey of the street.",,
wodehouse/sea_of_troubles,humor,PROPN,"proper_name_candidate,contraction_or_possessive",wodehouse/sea_of_troubles#g323,17,20,323,Bailey's,Bailey's,PROPN,"Perkins's Premier Pain-Preventer, strongly recommended by the sword-swallowing lady at Barnum and Bailey's—he had wallowed in it.",,
chesterton/blue_cross,mystery,NOUN,noun_verb_ambiguous,chesterton/blue_cross#g2058,73,30,2058,house,house,NOUN,"Instead of going to the right places—banks, police stations, rendezvous—he systematically went to the wrong places; knocked at every empty house, turned down every cul de sac, went up every lane blocked with rubbish, went round every cresce",,
chesterton/blue_cross,mystery,NOUN,ordinary,chesterton/blue_cross#g5174,196,9,5174,14s,14,NOUN,"But now I saw I’d put 14s., as plain as paint.”",,
mass_quantities/my_friend_the_murderer__doyle,mystery,NOUN,contraction_or_possessive,mass_quantities/my_friend_the_murderer__doyle#g3181,133,3,3181,d'ye,d'ye,NOUN,"""What d'ye mean?""",,
mass_quantities/my_friend_the_murderer__doyle,mystery,NOUN,"proper_name_candidate,contraction_or_possessive",mass_quantities/my_friend_the_murderer__doyle#g3337,143,4,3337,D'ye,d'ye,NOUN,""" ""D'ye call this a civilized land,"" I cried, ""and let a man be murdered in cold blood in open daylight?",,
mass_quantities/splashes_of_red__davis,mystery,NOUN,hyphenated,mass_quantities/splashes_of_red__davis#g6661,321,8,6661,and----,and----,NOUN,"“A habeas corpus and reasonable bail and----” Curly began, but Campbell shook his head.",,
mass_quantities/splashes_of_red__davis,mystery,NOUN,"hyphenated,archaic_candidate",mass_quantities/splashes_of_red__davis#g7839,373,12,7839,roughridin’--with,roughridin’--with,NOUN,"And him and me is going to do some more roughridin’--with a certain know-it-all gent to be rode--along about court time in the mornin’.” “Moore was right at that, in a way,” murmured the ex-ranger as the patrolman left to ring for the patro",,
mass_quantities/the_adventure_of_the_red_circle__doyle,mystery,NOUN,contraction_or_possessive,mass_quantities/the_adventure_of_the_red_circle__doyle#g1336,71,24,1336,'s,'s,NOUN,"You will observe that the paper is torn away at the side here after the printing was done, so that the 's' of 'soap' is partly gone.",,
